#instrument,type,course,string,frequency(Hz),scale_length(m),diameter(m),density(kg/m**3),material
qanun,turkish,1,1,98.00,0.7550,1.797,1800.00,flurocarbon nylon
qanun,turkish,1,2,98.00,0.7550,1.797,1800.00,flurocarbon nylon
qanun,turkish,1,3,98.00,0.7550,1.797,1800.00,flurocarbon nylon
qanun,turkish,2,1,110.00,0.7314,1.653,1800.00,flurocarbon nylon
qanun,turkish,2,2,110.00,0.7314,1.653,1800.00,flurocarbon nylon
qanun,turkish,2,3,110.00,0.7314,1.653,1800.00,flurocarbon nylon
qanun,turkish,3,1,123.47,0.7078,1.522,1800.00,flurocarbon nylon
qanun,turkish,3,2,123.47,0.7078,1.522,1800.00,flurocarbon nylon
qanun,turkish,3,3,123.47,0.7078,1.522,1800.00,flurocarbon nylon
qanun,turkish,4,1,130.81,0.6842,1.486,1800.00,flurocarbon nylon
qanun,turkish,4,2,130.81,0.6842,1.486,1800.00,flurocarbon nylon
qanun,turkish,4,3,130.81,0.6842,1.486,1800.00,flurocarbon nylon
qanun,turkish,5,1,146.83,0.6606,1.371,1800.00,flurocarbon nylon
qanun,turkish,5,2,146.83,0.6606,1.371,1800.00,flurocarbon nylon
qanun,turkish,5,3,146.83,0.6606,1.371,1800.00,flurocarbon nylon
qanun,turkish,6,1,164.82,0.6370,1.267,1800.00,flurocarbon nylon
qanun,turkish,6,2,164.82,0.6370,1.267,1800.00,flurocarbon nylon
qanun,turkish,6,3,164.82,0.6370,1.267,1800.00,flurocarbon nylon
qanun,turkish,7,1,174.62,0.6134,1.242,1800.00,flurocarbon nylon
qanun,turkish,7,2,174.62,0.6134,1.242,1800.00,flurocarbon nylon
qanun,turkish,7,3,174.62,0.6134,1.242,1800.00,flurocarbon nylon
qanun,turkish,8,1,196.00,0.5898,1.150,1800.00,flurocarbon nylon
qanun,turkish,8,2,196.00,0.5898,1.150,1800.00,flurocarbon nylon
qanun,turkish,8,3,196.00,0.5898,1.150,1800.00,flurocarbon nylon
qanun,turkish,9,1,220.00,0.5662,1.068,1800.00,flurocarbon nylon
qanun,turkish,9,2,220.00,0.5662,1.068,1800.00,flurocarbon nylon
qanun,turkish,9,3,220.00,0.5662,1.068,1800.00,flurocarbon nylon
qanun,turkish,10,1,246.94,0.5426,0.992,1800.00,flurocarbon nylon
qanun,turkish,10,2,246.94,0.5426,0.992,1800.00,flurocarbon nylon
qanun,turkish,10,3,246.94,0.5426,0.992,1800.00,flurocarbon nylon
qanun,turkish,11,1,261.63,0.5190,0.979,1800.00,flurocarbon nylon
qanun,turkish,11,2,261.63,0.5190,0.979,1800.00,flurocarbon nylon
qanun,turkish,11,3,261.63,0.5190,0.979,1800.00,flurocarbon nylon
qanun,turkish,12,1,293.67,0.4954,0.914,1800.00,flurocarbon nylon
qanun,turkish,12,2,293.67,0.4954,0.914,1800.00,flurocarbon nylon
qanun,turkish,12,3,293.67,0.4954,0.914,1800.00,flurocarbon nylon
qanun,turkish,13,1,329.63,0.4718,0.855,1800.00,flurocarbon nylon
qanun,turkish,13,2,329.63,0.4718,0.855,1800.00,flurocarbon nylon
qanun,turkish,13,3,329.63,0.4718,0.855,1800.00,flurocarbon nylon
qanun,turkish,14,1,349.23,0.4482,0.850,1800.00,flurocarbon nylon
