#manufacturer,instrument category,instrument,family,material,item,mass per length,diameter,scale length,t1,t2,t3,t4,t5,t6,t7,t8,set,order,ipn,designation,Tension Name,URL,helmholtz_range,ipn_range
#D'Addario,classical,guitar,D'Addario Classic,rectified clear nylon,J2801,0.00002065,,25.5,16.9,15.1,12,9.5,8.5,6.7,5.3,4.2,EJ28,1,E4,treble,,,f'|e'|d'|c'|b|a|g|f,F4|E4|D4|C4|B3|A3|G3|F3
#D'Addario,classical,guitar,D'Addario Classic,rectified clear nylon,J2802,0.000029,,25.5,23.8,21.2,16.8,13.4,11.9,9.4,7.5,6,EJ28,2,B3,treble,,,f'|e'|d'|c'|b|a|g|f,F4|E4|D4|C4|B3|A3|G3|F3
#D'Addario,classical,guitar,D'Addario Classic,rectified clear nylon,J2803,0.00004602,,25.5,37.8,33.7,26.7,21.2,18.9,15,11.9,9.4,EJ28,3,G3,treble,,,f'|e'|d'|c'|b|a|g|f,F4|E4|D4|C4|B3|A3|G3|F3
D'Addario,classical,guitar,D'Addario Classic,rectified clear nylon,J2901,0.00001928,0.027,25.5,15.8,14.1,11.2,8.9,7.9,6.3,5,4,EJ29,1,E4,treble,moderate tension,https://www.juststrings.com/dad-j2901.html,f'|e'|d'|c'|b|a|g|f,F4|E4|D4|C4|B3|A3|G3|F3
D'Addario,classical,guitar,D'Addario Classic,rectified clear nylon,J2902,0.00002803,0.031,25.5,23,20.5,16.3,12.9,11.5,9.1,7.2,5.8,EJ29,2,B3,treble,moderate tension,https://www.juststrings.com/dad-j2902.html,f'|e'|d'|c'|b|a|g|f,F4|E4|D4|C4|B3|A3|G3|F3
D'Addario,classical,guitar,D'Addario Classic,rectified clear nylon,J2903,0.00004486,0.039,25.5,36.8,32.8,26,20.7,18.4,14.6,11.6,9.2,EJ29,3,G3,treble,moderate tension,https://www.juststrings.com/dad-j2903.html,f'|e'|d'|c'|b|a|g|f,F4|E4|D4|C4|B3|A3|G3|F3
#D'Addario,classical,guitar,D'Addario Classic,silverplated copper wound,J2904,0.00010203,,25.5,14.8,11.7,10.5,8.3,6.6,5.2,4.7,3.7,,4,D2,bass,moderate tension,,,
#D'Addario,classical,guitar,D'Addario Classic,silverplated copper wound,J2905,0.00015347,,25.5,-,17.7,15.8,12.5,9.9,7.9,7,5.6,,5,A2,bass,moderate tension,,,
#D'Addario,classical,guitar,D'Addario Classic,silverplated copper wound,J2906,0.00028881,,25.5,-,-,-,-,18.7,14.8,13.2,10.5,,6,E2,bass,moderate tension,,,
D'Addario,classical,guitar,D'Addario Classic,rectified clear nylon,J3001,0.00002065,0.028,25.5,16.9,15.1,12,9.5,8.5,6.7,5.3,4.2,EJ30,1,E4,treble,normal tension,https://www.juststrings.com/dad-j3001.html,f'|e'|d'|c'|b|a|g|f,F4|E4|D4|C4|B3|A3|G3|F3
D'Addario,classical,guitar,D'Addario Classic,rectified clear nylon,J3002,0.000029,0.031,25.5,23.8,21.2,16.8,13.4,11.9,9.4,7.5,6,EJ30,2,B3,treble,normal tension,https://www.juststrings.com/dad-j3002.html,f'|e'|d'|c'|b|a|g|f,F4|E4|D4|C4|B3|A3|G3|F3
D'Addario,classical,guitar,D'Addario Classic,rectified clear nylon,J3003,0.00004602,0.039,25.5,37.8,33.7,26.7,21.2,18.9,15,11.9,9.4,EJ30,3,G3,treble,normal tension,https://www.juststrings.com/dad-j3003.html,f'|e'|d'|c'|b|a|g|f,F4|E4|D4|C4|B3|A3|G3|F3
#D'Addario,classical,guitar,D'Addario Classic,silverplated copper wound,J3004,0.00010616,,25.5,15.4,12.2,10.9,8.6,6.9,5.4,4.9,3.8,,4,D2,bass,,,,
#D'Addario,classical,guitar,D'Addario Classic,silverplated copper wound,J3005,0.00018416,,25.5,-,-,18.9,15,11.9,9.4,8.4,6.7,,5,A2,bass,,,,
#D'Addario,classical,guitar,D'Addario Classic,silverplated copper wound,J3006,0.00030194,,25.5,-,-,-,-,19.5,15.5,13.8,11,,6,E2,bass,,,,
