Scale length: 600 mm (23.622 inches)
Pitch: D3 = 146.83 Hz
Formula: T = UW * (2 * 23.622 * 146.83)^2 / 386.4

Item         Instrument                   Family                   Diam             UW  T@600mm  T@25.5in Desig  
-------------------------------------------------------------------------------------------------------------------
PL0135       acoustic or electric guitar  Plain Steel            0.0135     0.00004037      5.0       5.9 treble 
PL014        acoustic or electric guitar  Plain Steel             0.014     0.00004342      5.4       6.3 treble 
KPL014       acoustic or electric guitar  Plain Steel             0.014     0.00004342      5.4       6.3 treble 
PL015        acoustic or electric guitar  Plain Steel             0.015     0.00004984      6.2       7.2 treble 
NYL019W      guitar                       D'Addario Classic       0.019     0.00005341      6.7       7.7 bass   
NYL020W      guitar                       D'Addario Classic       0.020     0.00005341      6.7       7.7 bass   
NW017        acoustic or electric guitar  XL                      0.017     0.00005524      6.9       8.0 bass   
PL016        acoustic or electric guitar  Plain Steel             0.016     0.00005671      7.1       8.2 treble 
KPL016       acoustic or electric guitar  Plain Steel             0.016     0.00005671      7.1       8.2 treble 
SPL016       acoustic or electric guitar  Plain Steel             0.016     0.00005671      7.1       8.2 treble 
NW018        acoustic or electric guitar  XL                      0.018     0.00006215      7.7       9.0 bass   
PL017        acoustic or electric guitar  Plain Steel             0.017     0.00006402      8.0       9.3 treble 
KPL017       acoustic or electric guitar  Plain Steel             0.017     0.00006402      8.0       9.3 treble 
SPL017       acoustic or electric guitar  Plain Steel             0.017     0.00006402      8.0       9.3 treble 
NYL022W      guitar                       D'Addario Classic       0.022     0.00006498      8.1       9.4 bass   
XSG018       acoustic or electric guitar  XLS                     0.018     0.00006588      8.2       9.6 bass   
NW019        acoustic or electric guitar  XL                      0.019     0.00006947      8.7      10.1 bass   
NYL025W      guitar                       D'Addario Classic       0.025     0.00007023      8.7      10.2 bass   
PL018        acoustic or electric guitar  Plain Steel             0.018     0.00007177      8.9      10.4 treble 
NYL024W      guitar                       D'Addario Classic       0.024     0.00007408      9.2      10.7 bass   
NW020        acoustic or electric guitar  XL                      0.020     0.00007495      9.3      10.9 bass   
CG020        acoustic or electric guitar  Chromes                 0.020     0.00007812      9.7      11.3 bass   
BW020        acoustic guitar              80/20 Bronze            0.020     0.00007862      9.8      11.4 bass   
XSG020       acoustic or electric guitar  XLS                     0.020     0.00007919      9.9      11.5 bass   
PL019        acoustic or electric guitar  Plain Steel             0.019     0.00007997     10.0      11.6 treble 
PB020        acoustic guitar              Phosphor Bronze         0.020     0.00008106     10.1      11.8 bass   
NW021        acoustic or electric guitar  XL                      0.021     0.00008293     10.3      12.0 bass   
BW021        acoustic guitar              80/20 Bronze            0.021     0.00008684     10.8      12.6 bass   
XSG021       acoustic or electric guitar  XLS                     0.021     0.00008774     10.9      12.7 bass   
PL020        acoustic or electric guitar  Plain Steel             0.020     0.00008861     11.0      12.9 treble 
KPL020       acoustic or electric guitar  Plain Steel             0.020     0.00008861     11.0      12.9 treble 
PB021        acoustic guitar              Phosphor Bronze         0.021     0.00008944     11.1      13.0 bass   
NW022        acoustic or electric guitar  XL                      0.022     0.00009184     11.4      13.3 bass   
NYL026W      guitar                       D'Addario Classic       0.026     0.00009438     11.8      13.7 bass   
J4504LP      guitar                       Pro-Arté                0.027     0.00009582     11.9      13.9 bass   
BW022        acoustic guitar              80/20 Bronze            0.022     0.00009600     12.0      13.9 bass   
XSG022       acoustic or electric guitar  XLS                     0.022     0.00009731     12.1      14.1 bass   
CG022        acoustic or electric guitar  Chromes                 0.022     0.00009784     12.2      14.2 bass   
ZW022        acoustic guitar              Great American Bronze   0.022     0.00009802     12.2      14.2 bass   
J4504C       guitar                       Pro-Arté                0.028     0.00009858     12.3      14.3 bass   
PB022        acoustic guitar              Phosphor Bronze         0.022     0.00009876     12.3      14.3 bass   
J2904        guitar                       D'Addario Classic       0.028     0.00010203     12.7      14.8 bass   
