Scale length: 600 mm (23.622 inches)
Pitch: G2 = 98.0 Hz
Options: 209

Item         Instrument                   Family                   Diam             UW  T@600mm  T@25.5in Desig  
-------------------------------------------------------------------------------------------------------------------
NYL019W      guitar                       D'Addario Classic       0.019     0.00005341      3.0       3.5 bass   
NYL020W      guitar                       D'Addario Classic       0.020     0.00005341      3.0       3.5 bass   
NYL022W      guitar                       D'Addario Classic       0.022     0.00006498      3.6       4.2 bass   
NYL025W      guitar                       D'Addario Classic       0.025     0.00007023      3.9       4.5 bass   
NYL024W      guitar                       D'Addario Classic       0.024     0.00007408      4.1       4.8 bass   
NYL026W      guitar                       D'Addario Classic       0.026     0.00009438      5.2       6.1 bass   
J4504LP      guitar                       Pro-Arté                0.027     0.00009582      5.3       6.2 bass   
J4504C       guitar                       Pro-Arté                0.028     0.00009858      5.5       6.4 bass   
J2904        guitar                       D'Addario Classic       0.028     0.00010203      5.7       6.6 bass   
J4304        guitar                       Pro-Arté                0.028     0.00010203      5.7       6.6 bass   
NYL028W      guitar                       D'Addario Classic       0.028     0.00010511      5.8       6.8 bass   
J3004        guitar                       D'Addario Classic       0.029     0.00010616      5.9       6.9 bass   
J4704        guitar                       Pro-Arté                0.029     0.00010616      5.9       6.9 bass   
J4504        guitar                       Pro-Arté                0.029     0.00010754      6.0         7 bass   
J4904        guitar                       Pro-Arté                0.029     0.00010754      6.0         7 bass   
J2804        guitar                       D'Addario Classic      <MISSING>     0.00011030      6.1       7.1 bass   
J4604C       guitar                       Pro-Arté                0.029     0.00011030      6.1       7.1 bass   
J4604LP      guitar                       Pro-Arté                0.029     0.00011168      6.2       7.2 bass   
J4404        guitar                       Pro-Arté                 0.03     0.00011237      6.2       7.3 bass   
J4604        guitar                       Pro-Arté                 0.03     0.00011237      6.2       7.3 bass   
J4804        guitar                       Pro-Arté                0.030     0.00011237      6.2       7.3 bass   
J5004        guitar                       Pro-Arté                 0.03     0.00011237      6.2       7.3 bass   
J3104        guitar                       D'Addario Classic       0.030     0.00011512      6.4       7.4 bass   
J4404C       guitar                       Pro-Arté                0.030     0.00011581      6.4       7.5 bass   
BEB031W      folk guitar                  80/20 Brass             0.031     0.00011650      6.5       7.5 bass   
NYL029W      guitar                       D'Addario Classic       0.029     0.00011667      6.5       7.5 bass   
BES031W      folk guitar                  Silverplated Copper     0.031     0.00012271      6.8       7.9 bass   
NYL030W      guitar                       D'Addario Classic       0.030     0.00012419      6.9       8.0 bass   
NYL031W      guitar                       D'Addario Classic       0.031     0.00012821      7.1       8.3 bass   
J5104        guitar                       Pro-Arté                0.028     0.00013029      7.2       8.4 bass   
NW028        acoustic or electric guitar  XL                      0.028     0.00014666      8.1       9.5 bass   
CG028        acoustic or electric guitar  Chromes                 0.028     0.00014683      8.1       9.5 bass   
J2905        guitar                       D'Addario Classic       0.033     0.00015347      8.5       9.9 bass   
J4305        guitar                       Pro-Arté                0.033     0.00015347      8.5       9.9 bass   
XSG028       acoustic or electric guitar  XLS                     0.028     0.00015493      8.6      10.0 bass   
BW029        acoustic guitar              80/20 Bronze            0.029     0.00016838      9.3      10.9 bass   
CG030        acoustic or electric guitar  Chromes                 0.030     0.00016958      9.4      11.0 bass   
J4505LP      guitar                       Pro-Arté                0.033     0.00017066      9.5      11.0 bass   
NW030        acoustic or electric guitar  XL                      0.030     0.00017236      9.6      11.1 bass   
J4705        guitar                       Pro-Arté                0.035     0.00017311      9.6      11.2 bass   
PB029        acoustic guitar              Phosphor Bronze         0.029     0.00017381      9.6      11.2 bass   
NYL033W      guitar                       D'Addario Classic       0.033     0.00017913      9.9      11.6 bass   
J4505C       guitar                       Pro-Arté                0.035     0.00017925      9.9      11.6 bass   
BW030        acoustic guitar              80/20 Bronze            0.030     0.00018092     10.0      11.7 bass   
J4805        guitar                       Pro-Arté                0.036     0.00018171     10.1      11.7 bass   
XSG030       acoustic or electric guitar  XLS                     0.030     0.00018203     10.1      11.8 bass   
J3005        guitar                       D'Addario Classic       0.035     0.00018416     10.2      11.9 bass   
J4505        guitar                       Pro-Arté                0.035     0.00018416     10.2      11.9 bass   
J4905        guitar                       Pro-Arté                0.035     0.00018416     10.2      11.9 bass   
ZW030        acoustic guitar              Great American Bronze   0.030     0.00018507     10.3      12.0 bass   
PB030        acoustic guitar              Phosphor Bronze         0.030     0.00018660     10.4      12.1 bass   
BEB037W      folk guitar                  80/20 Brass             0.037     0.00018785     10.4      12.1 bass   
HRG030       acoustic or electric guitar  Half Round              0.030     0.00018970     10.5      12.3 bass   
J3105        guitar                       D'Addario Classic       0.036     0.00019153     10.6      12.4 bass   
CG032        acoustic or electric guitar  Chromes                 0.032     0.00019233     10.7      12.4 bass   
NYL034W      guitar                       D'Addario Classic       0.034     0.00019270     10.7      12.5 bass   
NW032        acoustic or electric guitar  XL                      0.032     0.00019347     10.7      12.5 bass   
SNW032       acoustic or electric guitar  XL                      0.032     0.00019347     10.7      12.5 bass   
J4405        guitar                       Pro-Arté                0.036     0.00019521     10.8      12.6 bass   
J4605        guitar                       Pro-Arté                0.036     0.00019521     10.8      12.6 bass   
J5005        guitar                       Pro-Arté                0.036     0.00019521     10.8      12.6 bass   
FT030        acoustic guitar              Flat Tops               0.030     0.00019785     11.0      12.8 bass   
J4605LP      guitar                       Pro-Arté                0.035     0.00019890     11.0      12.9 bass   
J5105        guitar                       Pro-Arté                0.034     0.00020135     11.2        13 bass   
BES037W      folk guitar                  Silverplated Copper     0.037     0.00020258     11.2      13.1 bass   
BW032        acoustic guitar              80/20 Bronze            0.032     0.00020352     11.3      13.2 bass   
J4405C       guitar                       Pro-Arté                0.036     0.00020381     11.3      13.2 bass   
J4605C       guitar                       Pro-Arté                0.036     0.00020381     11.3      13.2 bass   
